Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2019,December,2 Eastern, East Gippsland,"1,978","4,172.9"
2019,December,2 Eastern, Greater Shepparton,"3,261","4,819.6"
2019,December,2 Eastern, Indigo,269,"1,595.6"
2019,December,2 Eastern, Knox,"5,096","3,123.6"
2019,December,2 Eastern, Latrobe,"5,304","6,976.6"
2019,December,2 Eastern, Manningham,"2,524","1,991.4"
2019,December,2 Eastern, Mansfield,177,"1,882.6"
2019,December,2 Eastern, Maroondah,"3,114","2,642.3"
2019,December,2 Eastern, Mitchell,"1,634","3,528.5"
2019,December,2 Eastern, Moira,"1,026","3,413.3"
2019,December,2 Eastern, Monash,"5,698","2,853.9"
2019,December,2 Eastern, Murrindindi,383,"2,602.1"
2019,December,2 Eastern, South Gippsland,683,"2,285.3"
2019,December,2 Eastern, Strathbogie,259,"2,377.5"
2019,December,2 Eastern, Towong,80,"1,304.2"
2019,December,2 Eastern, Wangaratta,876,"2,979.3"
2019,December,2 Eastern, Wellington,"1,834","4,110.3"
2019,December,2 Eastern, Whitehorse,"4,774","2,716.5"
2019,December,2 Eastern, Wodonga,"1,518","3,611.9"
2019,December,2 Eastern, Yarra Ranges,"3,541","2,232.9"
2019,December,2 Eastern,Total,"52,070","3,043.0"
2019,December,3 Southern Metro, Bayside,"2,869","2,731.6"
2019,December,3 Southern Metro, Cardinia,"2,816","2,517.5"
2019,December,3 Southern Metro, Casey,"10,177","2,894.6"
2019,December,3 Southern Metro, Frankston,"5,796","4,086.9"
2019,December,3 Southern Metro, Glen Eira,"3,971","2,581.8"
2019,December,3 Southern Metro, Greater Dandenong,"8,002","4,815.5"
2019,December,3 Southern Metro, Kingston,"5,074","3,112.4"
2019,December,3 Southern Metro, Mornington Peninsula,"5,150","3,058.3"
2019,December,3 Southern Metro, Port Phillip,"6,309","5,647.7"
2019,December,3 Southern Metro, Stonnington,"5,732","5,039.6"
2019,December,3 Southern Metro,Total,"55,896","3,521.8"
2019,December,4 Western, Ararat,439,"3,713.4"
2019,December,4 Western, Ballarat,"5,440","4,961.2"
2019,December,4 Western, Buloke,138,"2,240.6"
2019,December,4 Western, Campaspe,"1,495","3,925.5"
2019,December,4 Western, Central Goldfields,477,"3,577.6"
2019,December,4 Western, Colac-Otway,705,"3,202.9"
2019,December,4 Western, Corangamite,299,"1,850.9"
2019,December,4 Western, Gannawarra,286,"2,711.2"
2019,December,4 Western, Glenelg,521,"2,608.9"
2019,December,4 Western, Golden Plains,324,"1,362.6"
2019,December,4 Western, Greater Bendigo,"4,229","3,582.0"
2019,December,4 Western, Greater Geelong,"9,131","3,514.9"
2019,December,4 Western, Hepburn,468,"2,910.1"
2019,December,4 Western, Hindmarsh,136,"2,402.0"
2019,December,4 Western, Horsham,609,"3,018.4"
2019,December,4 Western, Loddon,232,"3,044.6"
2019,December,4 Western, Macedon Ranges,882,"1,760.5"
2019,December,4 Western, Mildura,"3,152","5,558.2"
2019,December,4 Western, Moorabool,918,"2,567.9"
2019,December,4 Western, Mount Alexander,439,"2,231.6"
2019,December,4 Western, Moyne,318,"1,873.1"
2019,December,4 Western, Northern Grampians,419,"3,582.4"
2019,December,4 Western, Pyrenees,227,"3,051.9"
2019,December,4 Western, Queenscliffe,68,"2,291.1"
2019,December,4 Western, Southern Grampians,457,"2,793.4"
2019,December,4 Western, Surf Coast,668,"1,955.3"
2019,December,4 Western, Swan Hill,942,"4,404.5"
2019,December,4 Western, Warrnambool,"1,341","3,824.9"
2019,December,4 Western, West Wimmera,66,"1,660.8"
2019,December,4 Western, Yarriambiack,218,"3,268.9"
2019,December,4 Western,Total,"35,044","3,443.1"
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,978,
2019,December,Justice Institutions and Immigration Facilities,Total,978,
2019,December,Unincorporated Vic, Unincorporated Vic,58,
2019,December,Unincorporated Vic,Total,58,
2018,December,1 North West Metro, Banyule,"4,005","3,091.5"
2018,December,1 North West Metro, Brimbank,"8,308","4,016.5"
2018,December,1 North West Metro, Darebin,"7,351","4,682.2"
2018,December,1 North West Metro, Hobsons Bay,"2,601","2,735.6"
2018,December,1 North West Metro, Hume,"8,517","3,779.9"
2018,December,1 North West Metro, Maribyrnong,"4,308","4,850.9"
2018,December,1 North West Metro, Melbourne,"12,930","7,910.1"
2018,December,1 North West Metro, Melton,"4,783","3,049.4"
2018,December,1 North West Metro, Merri-bek,"7,743","4,360.8"
2018,December,1 North West Metro, Moonee Valley,"3,945","3,146.0"
2018,December,1 North West Metro, Nillumbik,"1,029","1,595.5"
2018,December,1 North West Metro, Whittlesea,"6,666","3,024.3"
2018,December,1 North West Metro, Wyndham,"5,885","2,292.0"
2018,December,1 North West Metro, Yarra,"7,158","7,500.0"
2018,December,1 North West Metro,Total,"85,229","3,940.3"
2018,December,2 Eastern, Alpine,211,"1,647.5"
2018,December,2 Eastern, Bass Coast,"1,033","2,866.2"
2018,December,2 Eastern, Baw Baw,"1,791","3,418.5"
2018,December,2 Eastern, Benalla,474,"3,351.0"
2018,December,2 Eastern, Boroondara,"3,969","2,213.7"
2018,December,2 Eastern, East Gippsland,"1,718","3,668.2"
2018,December,2 Eastern, Greater Shepparton,"3,067","4,593.0"
2018,December,2 Eastern, Indigo,189,"1,138.7"
2018,December,2 Eastern, Knox,"4,395","2,707.3"
2018,December,2 Eastern, Latrobe,"5,212","6,902.1"
2018,December,2 Eastern, Manningham,"2,231","1,784.9"
2018,December,2 Eastern, Mansfield,171,"1,870.5"
2018,December,2 Eastern, Maroondah,"2,828","2,416.4"
2018,December,2 Eastern, Mitchell,"1,548","3,477.7"
2018,December,2 Eastern, Moira,853,"2,854.7"
2018,December,2 Eastern, Monash,"5,280","2,667.7"
2018,December,2 Eastern, Murrindindi,322,"2,213.4"
2018,December,2 Eastern, South Gippsland,554,"1,873.1"
2018,December,2 Eastern, Strathbogie,311,"2,900.0"
2018,December,2 Eastern, Towong,107,"1,755.8"
2018,December,2 Eastern, Wangaratta,828,"2,831.6"
2018,December,2 Eastern, Wellington,"1,538","3,480.3"
2018,December,2 Eastern, Whitehorse,"3,822","2,192.4"
2018,December,2 Eastern, Wodonga,"1,272","3,065.1"
2018,December,2 Eastern, Yarra Ranges,"2,961","1,877.7"
2018,December,2 Eastern,Total,"46,685","2,755.7"
2018,December,3 Southern Metro, Bayside,"2,540","2,429.6"
2018,December,3 Southern Metro, Cardinia,"2,540","2,377.4"
2018,December,3 Southern Metro, Casey,"9,870","2,922.0"
2018,December,3 Southern Metro, Frankston,"5,834","4,125.4"
2018,December,3 Southern Metro, Glen Eira,"3,381","2,220.1"
2018,December,3 Southern Metro, Greater Dandenong,"7,704","4,674.8"
2018,December,3 Southern Metro, Kingston,"4,817","2,981.5"
2018,December,3 Southern Metro, Mornington Peninsula,"4,501","2,704.7"
2018,December,3 Southern Metro, Port Phillip,"6,440","5,818.8"
2018,December,3 Southern Metro, Stonnington,"5,041","4,449.8"
2018,December,3 Southern Metro,Total,"52,668","3,377.0"
2018,December,4 Western, Ararat,456,"3,867.0"
2018,December,4 Western, Ballarat,"4,611","4,288.6"
2018,December,4 Western, Buloke,103,"1,659.1"
2018,December,4 Western, Campaspe,"1,554","4,098.9"
2018,December,4 Western, Central Goldfields,483,"3,626.9"
2018,December,4 Western, Colac-Otway,708,"3,247.1"
2018,December,4 Western, Corangamite,282,"1,738.8"
2018,December,4 Western, Gannawarra,294,"2,775.7"
2018,December,4 Western, Glenelg,540,"2,716.7"
2018,December,4 Western, Golden Plains,319,"1,377.0"
2018,December,4 Western, Greater Bendigo,"3,682","3,172.1"
2018,December,4 Western, Greater Geelong,"8,781","3,471.9"
2018,December,4 Western, Hepburn,398,"2,505.5"
2018,December,4 Western, Hindmarsh,144,"2,532.5"
2018,December,4 Western, Horsham,847,"4,225.5"
2018,December,4 Western, Loddon,228,"3,002.0"
2018,December,4 Western, Macedon Ranges,898,"1,823.2"
2018,December,4 Western, Mildura,"2,893","5,155.9"
2018,December,4 Western, Moorabool,959,"2,769.3"
2018,December,4 Western, Mount Alexander,311,"1,596.4"
2018,December,4 Western, Moyne,304,"1,800.7"
2018,December,4 Western, Northern Grampians,398,"3,424.0"
2018,December,4 Western, Pyrenees,237,"3,237.7"
2018,December,4 Western, Queenscliffe,78,"2,643.2"
2018,December,4 Western, Southern Grampians,490,"3,010.6"
2018,December,4 Western, Surf Coast,588,"1,797.3"
2018,December,4 Western, Swan Hill,926,"4,363.0"
2018,December,4 Western, Warrnambool,"1,358","3,903.3"
2018,December,4 Western, West Wimmera,75,"1,893.0"
2018,December,4 Western, Yarriambiack,228,"3,406.5"
2018,December,4 Western,Total,"33,173","3,315.6"
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,071",
2018,December,Justice Institutions and Immigration Facilities,Total,"1,071",
2018,December,Unincorporated Vic, Unincorporated Vic,44,
2018,December,Unincorporated Vic,Total,44,
2017,December,1 North West Metro, Banyule,"4,347","3,380.2"
2017,December,1 North West Metro, Brimbank,"7,934","3,850.8"
2017,December,1 North West Metro, Darebin,"7,278","4,651.6"
2017,December,1 North West Metro, Hobsons Bay,"2,777","2,938.5"
2017,December,1 North West Metro, Hume,"8,932","4,132.6"
2017,December,1 North West Metro, Maribyrnong,"4,061","4,610.4"
2017,December,1 North West Metro, Melbourne,"13,119","8,409.6"
2017,December,1 North West Metro, Melton,"4,878","3,282.2"
2017,December,1 North West Metro, Merri-bek,"7,198","4,112.2"
2017,December,1 North West Metro, Moonee Valley,"4,086","3,288.1"
2017,December,1 North West Metro, Nillumbik,"1,218","1,891.7"
2017,December,1 North West Metro, Whittlesea,"6,867","3,204.0"
2017,December,1 North West Metro, Wyndham,"6,324","2,619.3"
2017,December,1 North West Metro, Yarra,"6,414","6,789.8"
2017,December,1 North West Metro,Total,"85,433","4,052.1"
2017,December,2 Eastern, Alpine,172,"1,356.6"
2017,December,2 Eastern, Bass Coast,"1,097","3,159.0"
2017,December,2 Eastern, Baw Baw,"1,389","2,731.5"
2017,December,2 Eastern, Benalla,565,"4,023.9"
2017,December,2 Eastern, Boroondara,"3,933","2,202.2"
2017,December,2 Eastern, East Gippsland,"1,624","3,515.8"
2017,December,2 Eastern, Greater Shepparton,"2,960","4,490.1"
2017,December,2 Eastern, Indigo,236,"1,440.5"
2017,December,2 Eastern, Knox,"4,635","2,870.8"
2017,December,2 Eastern, Latrobe,"4,877","6,498.5"
2017,December,2 Eastern, Manningham,"2,404","1,937.6"
2017,December,2 Eastern, Mansfield,292,"3,284.2"
2017,December,2 Eastern, Maroondah,"3,176","2,733.9"
2017,December,2 Eastern, Mitchell,"1,666","3,872.5"
2017,December,2 Eastern, Moira,714,"2,404.1"
2017,December,2 Eastern, Monash,"5,311","2,715.1"
2017,December,2 Eastern, Murrindindi,320,"2,240.6"
2017,December,2 Eastern, South Gippsland,575,"1,959.4"
2017,December,2 Eastern, Strathbogie,291,"2,764.3"
2017,December,2 Eastern, Towong,104,"1,716.2"
2017,December,2 Eastern, Wangaratta,820,"2,833.8"
2017,December,2 Eastern, Wellington,"1,646","3,753.8"
